cellDN,controllerName,mcc,mnc,cellId,,,cellLac,cellExpectedCellRadius,cellType,cellDeploymentType,cellSectorIdentifier,cellBtsId,cellTechnology,siteIdentifier,cellid,siteAddress,siteTopologyName,siteT,siteLocationLongitude,siteLocationLatitude,siteLocationGroundHeight,antennaType,antennaAttenuationPattern,antennaGsmPropagationModel,antennaWcdmaPropagationModel,antennaEffectiveHeight,antennaBearing,antennaTilt,antennaLocationLongitude,antennaLocationLatitude,antennaState,cellName,antennaId,antennaHorBeamwidth,antennaTotalTilt,antennaVerBeamwidth,antennaDirectivity,antennaLineLoss
PLMN-PLMN/BSC-900649/BCF-112/BTS-113,KSMBSC2118,639,2,2911,1,,5075,,,,2,113,GSM,14655_WN_WN0291,14655_WN_WN02911,14655_WN_WN0291-Bondo_University_OUTL_MGF,14655_WN_WN0291-Bondo_University_OUTL_MGF,14655,34.25919444,-0.092972222,0,K80010868_900_04V,,,,40,153,2,34.25919444,-0.092972222,1,BONDOUNIVER1,,,,,,
PLMN-PLMN/BSC-900649/BCF-1949/BTS-1952,KSMBSC2118,639,2,8404,4,,5162,,,,4,1952,GSM,17206_WN_WN0840,17206_WN_WN08404,17206_WN_WN0840-Agok_Village_Junction_MGF_OUTL,17206_WN_WN0840-Agok_Village_Junction_MGF_OUTL,17206,34.32622,-0.33303,0,K80010868_1800_04V,,,,30,20,0,34.32622,-0.33303,1,AGOKVILLAGEJUN4,,,,,,
PLMN-PLMN/BSC-900649/BCF-1871/BTS-1873,KSMBSC2118,639,2,4822,2,,5162,,,,3,1873,GSM,15134_WN_WN0482,15134_WN_WN04822,15134_WN_WN0482-Nyakongo_OUTL_MGF,15134_WN_WN0482-Nyakongo_OUTL_MGF,15134,34.28011111,-0.279,0,K80010306_900_05V,,,,44,236,1.5,34.28011111,-0.279,1,NYAKONGP2,,,,,,
PLMN-PLMN/BSC-900649/BCF-1865/BTS-1870,KSMBSC2118,639,2,4816,6,,5077,,,,6,1870,GSM,15135_WN_WN0481,15135_WN_WN04816,15135_WN_WN0481-Got_Serawuongo_OUTL_MGF,15135_WN_WN0481-Got_Serawuongo_OUTL_MGF,15135,34.12568056,-0.151625,0,K80010679_1800_02V,,,,44,298,2,34.12568056,-0.151625,1,SERAWUONGODCP6,,,,,,
PLMN-PLMN/BSC-900649/BCF-256/BTS-259,KSMBSC2118,639,2,3264,4,,5162,,,,4,259,GSM,14520_WN_WN0326,14520_WN_WN03264,14520_WN_WN0326-RanaloIP_OUTL_MGF,14520_WN_WN0326-RanaloIP_OUTL_MGF,14520,34.352974,-0.254051,0,K742215_1800_02V,,,,40,60,0,34.352974,-0.254051,1,RANALOVIPMR4,,,,,,
PLMN-PLMN/BSC-900649/BCF-244/BTS-245,KSMBSC2118,639,2,3181,1,,5162,,,,2,245,GSM,14352_WN_WN0318,14352_WN_WN03181,14352_WN_WN0318-Kotieno_OUTL_MGF,14352_WN_WN0318-Kotieno_OUTL_MGF,14352,34.30123333,-0.349647222,0,K80010306_900_03V,,,,59,191,2.5,34.30123333,-0.349647222,1,KOTIENOMR1,,,,,,
PLMN-PLMN/BSC-900649/BCF-1871/BTS-1875,KSMBSC2118,639,2,4825,5,,5162,,,,5,1875,GSM,15134_WN_WN0482,15134_WN_WN04825,15134_WN_WN0482-Nyakongo_OUTL_MGF,15134_WN_WN0482-Nyakongo_OUTL_MGF,15134,34.28011111,-0.279,0,K742215_1800_02V,,,,44,118,1.5,34.28011111,-0.279,1,NYAKONGODCP5,,,,,,
PLMN-PLMN/BSC-900649/BCF-262/BTS-267,KSMBSC2118,639,2,4836,6,,5077,,,,5,267,GSM,15002_WN_WN0483,15002_WN_WN04836,15002_WN_WN0483-Osieko_OUTL_MGF,15002_WN_WN0483-Osieko_OUTL_MGF,15002,34.01742222,-0.030427778,0,K80010504_1800_00V,,,,34,222,2,34.01742222,-0.030427778,1,OSIEKODCS6,,,,,,
PLMN-PLMN/BSC-900649/BCF-1979/BTS-1982,KSMBSC2118,639,2,8544,4,,5077,,,,4,1982,GSM,,4,,,,#N/A,#N/A,,#N/A,,,,#N/A,#N/A,,#N/A,#N/A,,UHANYA4,,,,,,
PLMN-PLMN/BSC-900649/BCF-226/BTS-227,KSMBSC2118,639,2,1231,1,,5162,,,,2,227,GSM,13601_WN_WN0123,13601_WN_WN01231,13601_WN_WN0123-Madiany_OUTL_MGF,13601_WN_WN0123-Madiany_OUTL_MGF,13601,34.32445833,-0.283138889,0,PW7750_900_02V,,,,38,180,1,34.32445833,-0.283138889,1,MADIANYMR1,,,,,,
PLMN-PLMN/BSC-900649/BCF-650/BTS-650,KSMBSC2118,639,2,5900,0,,5162,,,,1,650,GSM,16132_WN_WN0590,16132_WN_WN05900,16132_WN_WN0590-Wichlum_OUTL_MGF,16132_WN_WN0590-Wichlum_OUTL_MGF,16132,34.2099,-0.2245,0,K80010826_900Mhz_04V,,,,39,85,1.5,34.2099,-0.2245,1,WICHLUM0,,,,,,
